timestamp,meterId,tempC,humidityPct,windMs,precipMm
1/1/2025 0:00,M001,0.41,44,2.73,0
1/1/2025 1:00,M001,1.34,53.5,3.18,0
1/1/2025 2:00,M001,1.22,55.9,4.64,0
1/1/2025 3:00,M001,3.03,61,3.02,0.5
1/1/2025 4:00,M001,1.36,65.8,4.45,0
1/1/2025 5:00,M001,2.76,57.2,4.74,0
1/1/2025 6:00,M001,9.19,66.1,1.8,0
1/1/2025 7:00,M001,5.1,67.6,1.05,3
1/1/2025 8:00,M001,6.35,69.4,2.98,0
1/1/2025 9:00,M001,11.58,60.1,1.92,0
1/1/2025 10:00,M001,13.82,55.9,5.02,0
1/1/2025 11:00,M001,8.11,49.7,1.97,0
1/1/2025 12:00,M001,9.45,41.2,6.81,0
1/1/2025 13:00,M001,10.38,45.7,6.99,0
1/1/2025 14:00,M001,12.06,45.7,6.42,0
1/1/2025 15:00,M001,7.35,42.3,4.19,0
1/1/2025 16:00,M001,7.63,44.9,1.63,0
1/1/2025 17:00,M001,8.2,31.6,2.17,0
1/1/2025 18:00,M001,6.65,38.9,4.13,0
1/1/2025 19:00,M001,4.4,52.3,2.52,0
1/1/2025 20:00,M001,3.8,47.3,2.4,0
1/1/2025 21:00,M001,1.11,46.6,6.63,0
1/1/2025 22:00,M001,2.18,47.3,0.86,0.5
1/1/2025 23:00,M001,1.74,45.2,4.31,0
1/2/2025 0:00,M001,2.35,39.5,3.95,0
1/2/2025 1:00,M001,1.3,55.3,3.13,0
1/2/2025 2:00,M001,3.24,40.3,1.19,0
1/2/2025 3:00,M001,4.69,55.1,2.2,0
1/2/2025 4:00,M001,4.23,58.6,3.09,0
1/2/2025 5:00,M001,5.49,57,1.07,0
1/2/2025 6:00,M001,6.08,73,5.79,3
1/2/2025 7:00,M001,7.04,70.6,2.85,1.5
1/2/2025 8:00,M001,6.92,64.9,2.7,0
1/2/2025 9:00,M001,9.3,51.5,4.49,1.5
1/2/2025 10:00,M001,9.32,66.5,7.56,0
1/2/2025 11:00,M001,13,56.3,2.16,0
1/2/2025 12:00,M001,12.36,44.3,0.97,0
1/2/2025 13:00,M001,10.44,47.6,8.16,6
1/2/2025 14:00,M001,8.32,50.8,3.33,0
1/2/2025 15:00,M001,7.16,39.3,10.24,0
1/2/2025 16:00,M001,9.79,42.2,6.9,0
1/2/2025 17:00,M001,7.43,42.2,1.49,0
1/2/2025 18:00,M001,6.72,33.4,2.45,0
1/2/2025 19:00,M001,2.35,38.7,0.21,0
1/2/2025 20:00,M001,5.39,35.2,1.63,0
1/2/2025 21:00,M001,3.85,48.1,0.84,0
1/2/2025 22:00,M001,0.87,39.6,1.74,0
1/2/2025 23:00,M001,1.43,49.2,0.57,0
1/3/2025 0:00,M001,2.4,41.7,1.37,0
1/3/2025 1:00,M001,2.21,45.8,1.7,0
1/3/2025 2:00,M001,2.1,47.9,2.69,0
1/3/2025 3:00,M001,3.02,55.3,0.71,3
1/3/2025 4:00,M001,3.62,59.7,5.96,1.5
1/3/2025 5:00,M001,5.19,61.8,1.64,0
1/3/2025 6:00,M001,8.21,49.4,3.47,0
1/3/2025 7:00,M001,3.19,58.6,1.59,0
1/3/2025 8:00,M001,7.64,54.2,2.81,0
