meterId,timestamp,region,buildingType,floorAreaM2,insulationRating,hvacAgeYears,solarCapacityKw,evCharger,tariffTier,gridPriceUsdPerKwh,occupancyIndex,solarGenerationKwh,energyConsumKwh
M001,1/1/2025 0:00,W,commercial,113,0.709966134,16.48692357,2.762723348,1,offPeak,0.133,0.145,0,2.7074
M001,1/1/2025 1:00,W,commercial,113,0.709966134,16.48692357,2.762723348,1,offPeak,0.12,0.18,0,2.5389
M001,1/1/2025 2:00,W,commercial,113,0.709966134,16.48692357,2.762723348,1,offPeak,0.1308,0.239,0,2.6194
M001,1/1/2025 3:00,W,commercial,113,0.709966134,16.48692357,2.762723348,1,offPeak,0.1216,0.231,0,2.342
M001,1/1/2025 4:00,W,commercial,113,0.709966134,16.48692357,2.762723348,1,offPeak,0.1323,0.184,0,2.6295
M001,1/1/2025 5:00,W,commercial,113,0.709966134,16.48692357,2.762723348,1,offPeak,0.1362,0.171,0,2.209
M001,1/1/2025 6:00,W,commercial,113,0.709966134,16.48692357,2.762723348,1,offPeak,0.1139,0.202,0,1.6002
M001,1/1/2025 7:00,W,commercial,113,0.709966134,16.48692357,2.762723348,1,midPeak,0.1693,0.332,0.66,1.5037
M001,1/1/2025 8:00,W,commercial,113,0.709966134,16.48692357,2.762723348,1,midPeak,0.1629,0.27,1.382,0.7454
M001,1/1/2025 9:00,W,commercial,113,0.709966134,16.48692357,2.762723348,1,midPeak,0.1485,0.458,1.701,0.1676
M001,1/1/2025 10:00,W,commercial,113,0.709966134,16.48692357,2.762723348,1,midPeak,0.1353,0.572,2.069,0
M001,1/1/2025 11:00,W,commercial,113,0.709966134,16.48692357,2.762723348,1,midPeak,0.1606,0.777,2.918,0.4655
M001,1/1/2025 12:00,W,commercial,113,0.709966134,16.48692357,2.762723348,1,midPeak,0.1537,0.845,2.614,0.9989
M001,1/1/2025 13:00,W,commercial,113,0.709966134,16.48692357,2.762723348,1,midPeak,0.1441,0.835,2.521,1.3726
M001,1/1/2025 14:00,W,commercial,113,0.709966134,16.48692357,2.762723348,1,midPeak,0.1404,0.934,2.059,1.4734
M001,1/1/2025 15:00,W,commercial,113,0.709966134,16.48692357,2.762723348,1,midPeak,0.1541,0.754,2.072,1.7845
M001,1/1/2025 16:00,W,commercial,113,0.709966134,16.48692357,2.762723348,1,onPeak,0.2066,0.605,1.392,2.0069
M001,1/1/2025 17:00,W,commercial,113,0.709966134,16.48692357,2.762723348,1,onPeak,0.2082,0.385,0.729,1.8763
M001,1/1/2025 18:00,W,commercial,113,0.709966134,16.48692357,2.762723348,1,onPeak,0.2171,0.328,0,2.4523
M001,1/1/2025 19:00,W,commercial,113,0.709966134,16.48692357,2.762723348,1,onPeak,0.2208,0.235,0,2.6133
M001,1/1/2025 20:00,W,commercial,113,0.709966134,16.48692357,2.762723348,1,onPeak,0.225,0.226,0,2.867
M001,1/1/2025 21:00,W,commercial,113,0.709966134,16.48692357,2.762723348,1,onPeak,0.2269,0.116,0,2.6675
M001,1/1/2025 22:00,W,commercial,113,0.709966134,16.48692357,2.762723348,1,onPeak,0.2347,0.208,0,2.8484
M001,1/1/2025 23:00,W,commercial,113,0.709966134,16.48692357,2.762723348,1,onPeak,0.2354,0.24,0,3.3381
M001,1/2/2025 0:00,W,commercial,113,0.709966134,16.48692357,2.762723348,1,offPeak,0.1377,0.17,0,3.1059
M001,1/2/2025 1:00,W,commercial,113,0.709966134,16.48692357,2.762723348,1,offPeak,0.124,0.211,0,2.9413
M001,1/2/2025 2:00,W,commercial,113,0.709966134,16.48692357,2.762723348,1,offPeak,0.1197,0.146,0,2.5634
M001,1/2/2025 3:00,W,commercial,113,0.709966134,16.48692357,2.762723348,1,offPeak,0.1161,0.283,0,2.903
M001,1/2/2025 4:00,W,commercial,113,0.709966134,16.48692357,2.762723348,1,offPeak,0.1297,0.151,0,2.3911
M001,1/2/2025 5:00,W,commercial,113,0.709966134,16.48692357,2.762723348,1,offPeak,0.1142,0.201,0,2.1796
M001,1/2/2025 6:00,W,commercial,113,0.709966134,16.48692357,2.762723348,1,offPeak,0.1179,0.19,0,2.1759
M001,1/2/2025 7:00,W,commercial,113,0.709966134,16.48692357,2.762723348,1,midPeak,0.1498,0.225,0.6,1.7666
M001,1/2/2025 8:00,W,commercial,113,0.709966134,16.48692357,2.762723348,1,midPeak,0.1584,0.424,1.437,1.4046
M001,1/2/2025 9:00,W,commercial,113,0.709966134,16.48692357,2.762723348,1,midPeak,0.1531,0.529,1.801,0.9613
M001,1/2/2025 10:00,W,commercial,113,0.709966134,16.48692357,2.762723348,1,midPeak,0.1543,0.572,2.508,0
M001,1/2/2025 11:00,W,commercial,113,0.709966134,16.48692357,2.762723348,1,midPeak,0.1422,0.915,2.896,0.0039
M001,1/2/2025 12:00,W,commercial,113,0.709966134,16.48692357,2.762723348,1,midPeak,0.1385,0.911,2.533,0.36
M001,1/2/2025 13:00,W,commercial,113,0.709966134,16.48692357,2.762723348,1,midPeak,0.1517,0.95,2.751,0.6572
M001,1/2/2025 14:00,W,commercial,113,0.709966134,16.48692357,2.762723348,1,midPeak,0.1548,0.857,2.259,1.0727
M001,1/2/2025 15:00,W,commercial,113,0.709966134,16.48692357,2.762723348,1,midPeak,0.1576,0.804,1.683,1.6449
M001,1/2/2025 16:00,W,commercial,113,0.709966134,16.48692357,2.762723348,1,onPeak,0.1991,0.604,1.329,1.7946
M001,1/2/2025 17:00,W,commercial,113,0.709966134,16.48692357,2.762723348,1,onPeak,0.2136,0.407,0.706,2.142
M001,1/2/2025 18:00,W,commercial,113,0.709966134,16.48692357,2.762723348,1,onPeak,0.2182,0.345,0,2.0308
M001,1/2/2025 19:00,W,commercial,113,0.709966134,16.48692357,2.762723348,1,onPeak,0.2247,0.251,0,2.7785
M001,1/2/2025 20:00,W,commercial,113,0.709966134,16.48692357,2.762723348,1,onPeak,0.2118,0.17,0,2.0156
M001,1/2/2025 21:00,W,commercial,113,0.709966134,16.48692357,2.762723348,1,onPeak,0.2275,0.263,0,2.3649
M001,1/2/2025 22:00,W,commercial,113,0.709966134,16.48692357,2.762723348,1,onPeak,0.225,0.212,0,2.6353
M001,1/2/2025 23:00,W,commercial,113,0.709966134,16.48692357,2.762723348,1,onPeak,0.227,0.197,0,2.9075
M001,1/3/2025 0:00,W,commercial,113,0.709966134,16.48692357,2.762723348,1,offPeak,0.1233,0.287,0,2.9587
M001,1/3/2025 1:00,W,commercial,113,0.709966134,16.48692357,2.762723348,1,offPeak,0.1232,0.208,0,2.2719
M001,1/3/2025 2:00,W,commercial,113,0.709966134,16.48692357,2.762723348,1,offPeak,0.1313,0.262,0,2.6941
M001,1/3/2025 3:00,W,commercial,113,0.709966134,16.48692357,2.762723348,1,offPeak,0.1317,0.148,0,2.1825
M001,1/3/2025 4:00,W,commercial,113,0.709966134,16.48692357,2.762723348,1,offPeak,0.1298,0.165,0,2.151
M001,1/3/2025 5:00,W,commercial,113,0.709966134,16.48692357,2.762723348,1,offPeak,0.1171,0.213,0,2.0602
M001,1/3/2025 6:00,W,commercial,113,0.709966134,16.48692357,2.762723348,1,offPeak,0.1235,0.237,0,1.7175
M001,1/3/2025 7:00,W,commercial,113,0.709966134,16.48692357,2.762723348,1,midPeak,0.161,0.289,0.697,1.4803
M001,1/3/2025 8:00,W,commercial,113,0.709966134,16.48692357,2.762723348,1,midPeak,0.1574,0.397,1.631,0.8182
M001,1/3/2025 9:00,W,commercial,113,0.709966134,16.48692357,2.762723348,1,midPeak,0.1535,0.638,1.949,0.7121
M001,1/3/2025 10:00,W,commercial,113,0.709966134,16.48692357,2.762723348,1,midPeak,0.158,0.518,2.264,0
M001,1/3/2025 11:00,W,commercial,113,0.709966134,16.48692357,2.762723348,1,midPeak,0.1545,0.715,2.465,0.1408
M001,1/3/2025 12:00,W,commercial,113,0.709966134,16.48692357,2.762723348,1,midPeak,0.1653,0.878,3.178,0.2189
M001,1/3/2025 13:00,W,commercial,113,0.709966134,16.48692357,2.762723348,1,midPeak,0.145,0.998,2.823,0.6628
M001,1/3/2025 14:00,W,commercial,113,0.709966134,16.48692357,2.762723348,1,midPeak,0.1493,0.846,2.162,0.8688
M001,1/3/2025 15:00,W,commercial,113,0.709966134,16.48692357,2.762723348,1,midPeak,0.1647,0.744,1.925,1.5235
M001,1/3/2025 16:00,W,commercial,113,0.709966134,16.48692357,2.762723348,1,onPeak,0.2079,0.578,1.264,1.2669
M001,1/3/2025 17:00,W,commercial,113,0.709966134,16.48692357,2.762723348,1,onPeak,0.2105,0.484,0.673,1.782
M001,1/3/2025 18:00,W,commercial,113,0.709966134,16.48692357,2.762723348,1,onPeak,0.2154,0.345,0,2.6288
M001,1/3/2025 19:00,W,commercial,113,0.709966134,16.48692357,2.762723348,1,onPeak,0.2285,0.315,0,2.9624
M001,1/3/2025 20:00,W,commercial,113,0.709966134,16.48692357,2.762723348,1,onPeak,0.2288,0.294,0,3.0303
M001,1/3/2025 21:00,W,commercial,113,0.709966134,16.48692357,2.762723348,1,onPeak,0.2147,0.194,0,2.657
M001,1/3/2025 22:00,W,commercial,113,0.709966134,16.48692357,2.762723348,1,onPeak,0.2196,0.252,0,2.9777
M001,1/3/2025 23:00,W,commercial,113,0.709966134,16.48692357,2.762723348,1,onPeak,0.2271,0.164,0,2.552
M001,1/4/2025 0:00,W,commercial,113,0.709966134,16.48692357,2.762723348,1,offPeak,0.1294,0.061,0,2.0217
M001,1/4/2025 1:00,W,commercial,113,0.709966134,16.48692357,2.762723348,1,offPeak,0.1328,0.05,0,2.5891
M001,1/4/2025 2:00,W,commercial,113,0.709966134,16.48692357,2.762723348,1,offPeak,0.131,0.05,0,5.4894
M001,1/4/2025 3:00,W,commercial,113,0.709966134,16.48692357,2.762723348,1,offPeak,0.1252,0.097,0,1.755
M001,1/4/2025 4:00,W,commercial,113,0.709966134,16.48692357,2.762723348,1,offPeak,0.1139,0.05,0,1.8004
M001,1/4/2025 5:00,W,commercial,113,0.709966134,16.48692357,2.762723348,1,offPeak,0.1303,0.05,0,1.9387
M001,1/4/2025 6:00,W,commercial,113,0.709966134,16.48692357,2.762723348,1,offPeak,0.1194,0.065,0,2.3587
M001,1/4/2025 7:00,W,commercial,113,0.709966134,16.48692357,2.762723348,1,midPeak,0.169,0.219,0.734,1.8453
M001,1/4/2025 8:00,W,commercial,113,0.709966134,16.48692357,2.762723348,1,midPeak,0.1474,0.278,1.521,0.7741
M001,1/4/2025 9:00,W,commercial,113,0.709966134,16.48692357,2.762723348,1,midPeak,0.1625,0.223,1.643,0.8798
M001,1/4/2025 10:00,W,commercial,113,0.709966134,16.48692357,2.762723348,1,midPeak,0.1434,0.387,2.292,0.7499
M001,1/4/2025 11:00,W,commercial,113,0.709966134,16.48692357,2.762723348,1,midPeak,0.1588,0.689,2.572,0.9994
M001,1/4/2025 12:00,W,commercial,113,0.709966134,16.48692357,2.762723348,1,midPeak,0.1381,0.817,3.105,0
M001,1/4/2025 13:00,W,commercial,113,0.709966134,16.48692357,2.762723348,1,midPeak,0.1481,0.774,2.732,0.7762
M001,1/4/2025 14:00,W,commercial,113,0.709966134,16.48692357,2.762723348,1,midPeak,0.1441,0.714,2.227,0.7942
M001,1/4/2025 15:00,W,commercial,113,0.709966134,16.48692357,2.762723348,1,midPeak,0.1472,0.592,1.972,0.9704
M001,1/4/2025 16:00,W,commercial,113,0.709966134,16.48692357,2.762723348,1,onPeak,0.2176,0.438,1.22,1.1581
M001,1/4/2025 17:00,W,commercial,113,0.709966134,16.48692357,2.762723348,1,onPeak,0.2096,0.245,0.804,1.019
M001,1/4/2025 18:00,W,commercial,113,0.709966134,16.48692357,2.762723348,1,onPeak,0.221,0.238,0,2.0317
M001,1/4/2025 19:00,W,commercial,113,0.709966134,16.48692357,2.762723348,1,onPeak,0.2234,0.077,0,1.7901
M001,1/4/2025 20:00,W,commercial,113,0.709966134,16.48692357,2.762723348,1,onPeak,0.2113,0.115,0,2.2391
M001,1/4/2025 21:00,W,commercial,113,0.709966134,16.48692357,2.762723348,1,onPeak,0.2223,0.065,0,1.8624
M001,1/4/2025 22:00,W,commercial,113,0.709966134,16.48692357,2.762723348,1,onPeak,0.2354,0.109,0,1.8535
M001,1/4/2025 23:00,W,commercial,113,0.709966134,16.48692357,2.762723348,1,onPeak,0.2304,0.05,0,2.4592
